Gatunek,prob nektaru,Kolor,lwo_zew,lwo_wew,laszo,lasow,p1,p2,mid_dia,szypulka,petal_length,pyl_length,Odl pyl od znam,odl pyl-pl,Dl znam,Dl szyjki,lknp,Nachylenie,volume,concentration,weight
F. raddeane,,1,,,,,46.77,41.56,43.56,43.56,35.13,21.33,6.68,8.79,30.75,22.65,10,45,,,
F. raddeane,,1,,,,,,,,,33.51,20.8,3.18,11.27,,,,,,,
F. raddeane,,1,,,,,,,,,31.56,18.6,3.18,8.54,,,,,,,
F. raddeane,,1,,,,,,,,,29.7,16.45,2.39,5.48,,,,,,,
F. raddeane,,1,,,,,,,,,30.65,14.02,4.7,7.18,,,,,,,
F. raddeane,,1,,,,,,,,,31.89,13.99,3.41,1.03,,,,,,,
F. raddeane,,1,,,,,39.83,35.39,35.39,46.14,35.12,22.74,3.81,9.58,31.22,21.27,10,,,,
F. raddeane,,1,,,,,,,,,31.91,21.69,3.61,10.4,,,,,,,
F. raddeane,,1,,,,,,,,,33.54,21.67,3.02,6.78,,,,,,,
F. raddeane,,1,,,,,,,,,31.79,18.19,1.91,9.48,,,,,,,
F. raddeane,,1,,,,,,,,,32.63,19.66,2.46,7.34,,,,,,,
F. raddeane,,1,,,,,,,,,32.21,19.66,2.45,9.31,,,,,,,
F. raddeane,,1,,,,,54,,30,37,36,22,5,10,35,4,1,40,,,
F. raddeane,,1,,,,,,,,,36,23,4.8,7,,,,,,,
F. raddeane,,1,,,,,,,,,36,21,7,17,,,,,,,
F. raddeane,,1,,,,,,,,,36,30,2,15,,,,,,,
F. raddeane,,1,,,,,,,,,34,26,7,12,,,,,,,
F. raddeane,,1,,,,,53,50,34,41,34,23,2,10,35,9,,40,,,
F. raddeane,,1,,,,,,,,,38,21,2.5,10,,,,,,,
F. raddeane,,1,,,,,,,,,38,18,2,10,,,,,,,
F. raddeane,,1,,,,,,,,,38,26,2,16,,,,,,,
F. raddeane,,1,,,,,,,,,37,25,2,11,,,,,,,
F. raddeane,,1,,,,,,,,,38,22,1.8,11,,,,,,,
F. raddeane,,1,,,,,48,55,34,48,36,23,8,11,36,15,,140,,,
F. raddeane,,1,,,,,,,,,34,21,4,13,,,,,,,
F. raddeane,,1,,,,,,,,,36,16,4,10,,,,,,,
F. raddeane,,1,,,,,,,,,36,19,2,12,,,,,,,
F. raddeane,,1,,,,,,,,,38,23,3,8,,,,,,,
F. raddeane,,1,,,,,,,,,38,16,2,8,,,,,,,
F. raddeane,,1,,,,,,,,,39,22,3,8,,,,,,,
F. raddeane,,1,,,,,40,34,27,18,35,18,,89,34,8,,,,,
F. raddeane,,1,,,,,,,,,34,16,,9,,,,,,,
F. raddeane,,1,,,,,,,,,35,24,,8,,,,,,,
F. raddeane,,1,,,,,,,,,35,19,,,,,,,,,
F. raddeane,,1,,,,,,,,,37,22,,,,,,,,,
F. raddeane,,1,,,,,,,,,35,,,,,,,,,,
F. raddeane,,1,,,,,,,,41,32,,,,34,10,,,,,
F. raddeane,,1,,,,,,,,,32,,,,,,,,,,
F. raddeane,,1,,,,,,,,,31,,,,,,,,,,
F. raddeane,,1,,,,,,,,,31,,,,,,,,,,
F. raddeane,,1,,,,,,,,,31,,,,,,,,,,
F. raddeane,,1,,,,,,,,,31,,,,,,,,,,
F. reuteri,,3,,9,3,,,,,,,,,,,,,,,,
F. reuteri,,3,,,1,,,,,,,,,,,,,,,,
F. reuteri,,3,,,0,,,,,,,,,,,,,,,,
F. ruthenica,,3,,,,,,,,,30.53,31.8,13.52,1.5,5.43,19.08,10.39,90,0.05,brak,0.0002
F. ruthenica,,3,,,,,,,,,31.69,30.39,16.61,3.25,8.98,20.73,8.9,70,,,
F. ruthenica,,3,,,,,,,,,28.49,30.96,13.24,1.92,5.5,22.04,13.36,70,,,
F. ruthenica,,3,,,,,,,,,30.84,30.72,13.6,1.01,7.76,,,,,,
F. ruthenica,,3,,,,,,,,,30.96,32.07,13.6,0.56,5.01,,,,,,
F. ruthenica,,3,,,,,,,,,30.65,30.63,13.73,7.27,5.01,,,,,,
F. ruthenica,,3,,,,,,,,,31.33,30.06,15.25,2.26,7.56,,,,,,
F. ruthenica,,3,,,,,,,,,28.11,30.21,16.5,2.04,6.95,,,,,,
F. ruthenica,,3,,,,,,,,,30.22,29.13,13.86,0.58,8.47,,,,,,
F. ruthenica,,3,,,,,,,,,,,15.25,3.83,7.12,,,,,,
F. ruthenica,,3,,,,,,,,,,,14.96,5.38,5.31,,,,,,
F. ruthenica,,3,,,,,,,,,,,12.66,7.88,4.36,,,,,,
F. ruthenica,,3,,,,,,,,,,,15.95,5.72,3.22,,,,,,
F. ruthenica,,3,,,,,,,,,,,17.93,4.53,5.58,,,,,,
F. ruthenica,,3,,,,,,,,,,,12.98,5.37,7.88,,,,,,
F. ruthenica,,3,,,,,,,,,,,,6.28,5.15,,,,,,
F. ruthenica,,3,,,,,23.89,23.89,18.57,8.18,22.5,13.44,0.93,3.91,16.9,9.7,4,45,,,
F. ruthenica,,3,,,,,,,,,22.5,14.69,0.94,3.92,,,,,,,
F. ruthenica,,3,,,,,,,,,24.31,13.47,1.8,5.14,,,,,,,
F. ruthenica,,3,,,,,,,,,22.87,13.94,1.18,5.27,,,,,,,
F. ruthenica,,3,,,,,,,,,21.98,13.53,0.96,5.14,,,,,,,
F. ruthenica,,3,,,,,,,,,21.98,12.57,0.97,5.14,,,,,,,
F. ruthenica,,3,,,,,13.22,17.43,12.72,13.56,25.39,12.82,1.66,2.16,17.96,9.82,4,45,,,
F. ruthenica,,3,,,,,,,,,25.48,12.83,0.54,3.59,,,,,,,
F. ruthenica,,3,,,,,,,,,25.56,14.29,1.74,4.06,,,,,,,
F. ruthenica,,3,,,,,,,,,24.16,14.31,2.44,4.06,,,,,,,
F. ruthenica,,3,,,,,,,,,24.16,13.81,2.45,2.21,,,,,,,
F. ruthenica,,3,,,,,,,,,25.12,15.83,2.73,1.08,,,,,,,
F. ruthenica,,3,,,,,24.5,18.52,17.88,10.5,25.9,14.44,0.8,4.69,17.95,7.22,4,30,,,
F. ruthenica,,3,,,,,,,,,23,13.68,0.76,4.69,,,,,,,
F. ruthenica,,3,,,,,,,,,23.11,14.7,1.27,6.45,,,,,,,
F. ruthenica,,3,,,,,,,,,22.84,15.33,2.53,5.39,,,,,,,
F. ruthenica,,3,,,,,,,,,24.19,15.71,1.14,7.33,,,,,,,
F. ruthenica,,3,,,,,,,,,24.98,15.71,1.49,6.56,,,,,,,
F. ruthenica,,3,,,,,24.37,25.26,17.67,7.95,19.6,16.36,0.92,5.76,18.79,9.24,4,25,,,
F. ruthenica,,3,,,,,,,,,22.52,15.8,0.92,5.76,,,,,,,
F. ruthenica,,3,,,,,,,,,21.82,15.32,1.49,5.18,,,,,,,
F. ruthenica,,3,,,,,,,,,21.18,16.14,1.83,5.18,,,,,,,
F. ruthenica,,3,,,,,,,,,20.3,16.13,0.37,6.36,,,,,,,
F. ruthenica,,3,,,,,,,,,21.18,15.71,1.05,6.36,,,,,,,
F. ruthenica,,3,,,,,19.27,13.78,12.09,14.15,26.61,14.03,1.1,3.75,18.17,8.65,5,75,,,
F. ruthenica,,3,,,,,,,,,25.65,13.9,1.11,2.57,,,,,,,
F. ruthenica,,3,,,,,,,,,26.65,13.24,2.41,4.1,,,,,,,
F. ruthenica,,3,,,,,,,,,27.68,13.23,0.91,4.57,,,,,,,
F. ruthenica,,3,,,,,,,,,26.43,12.53,0.91,3.31,,,,,,,
F. ruthenica,,3,,,,,,,,,26.77,14.06,1.05,3.31,,,,,,,
F. ruthenica,,3,,,,,19.22,14.32,12.53,14.25,26.83,12.53,1.13,5.33,20.5,7.99,5,55,,,
F. ruthenica,,3,,,,,,,,,26.07,14.43,1.23,3.18,,,,,,,
F. ruthenica,,3,,,,,,,,,25.72,14.47,1.23,5.32,,,,,,,
F. ruthenica,,3,,,,,,,,,27.82,14.47,1.23,3.45,,,,,,,
F. ruthenica,,3,,,,,,,,,25.57,13.04,1.23,4.37,,,,,,,
F. ruthenica,,3,,,,,,,,,24.58,14.34,1.24,4.36,,,,,,,
F. ruthenica,,3,,,,,18.58,17.9,17.69,12.26,24.63,13.63,1.13,4.81,18.34,12.42,,45,,,
F. ruthenica,,3,,,,,,,,,24.63,13.63,1.13,3.59,,,,,,,
F. ruthenica,,3,,,,,,,,,26.02,15.2,1.13,4.41,,,,,,,
F. ruthenica,,3,,,,,,,,,24.85,15.51,1.95,4.31,,,,,,,
F. ruthenica,,3,,,,,,,,,23.97,15.51,0.72,4.27,,,,,,,
F. ruthenica,,3,,,,,,,,,24.48,13.6,0.74,3.46,,,,,,,
F. ruthenica,,3,,,,,21.18,30.8,23.24,11.93,21.49,12.63,0.87,4.82,18.4,9.98,,45,,,
F. ruthenica,,3,,,,,,,,,24.15,11.87,0.87,5.02,,,,,,,
F. ruthenica,,3,,,,,,,,,22.9,13.06,0.87,4.38,,,,,,,
F. ruthenica,,3,,,,,,,,,21.74,14.01,0.49,4.32,,,,,,,
F. ruthenica,,3,,,,,,,,,23.23,13.38,0.94,5.37,,,,,,,
F. ruthenica,,3,,,,,,,,,21.15,13.8,1.11,4.41,,,,,,,
F. ruthenica,,3,,,,,21.72,24.27,16.81,5.6,23.96,14.49,1.16,3.69,16.03,8.9,,20,,,
F. ruthenica,,3,,,,,,,,,22.61,14.49,1.73,3.55,,,,,,,
F. ruthenica,,3,,,,,,,,,21.81,13.55,1.28,4.35,,,,,,,
F. ruthenica,,3,,,,,,,,,22.43,15.19,0.94,5.73,,,,,,,
F. ruthenica,,3,,,,,,,,,21.8,15.55,0.97,5.01,,,,,,,
F. ruthenica,,3,,,,,,,,,23,15.56,1.12,3.68,,,,,,,
F. ruthenica,,3,,,,,27.42,25.18,19.9,11.83,22.95,15.49,1.06,5.02,16.38,7.27,2,90,,,
F. ruthenica,,3,,,,,,,,,21.2,15.33,1.06,5.89,,,,,,,
F. ruthenica,,3,,,,,,,,,21.05,13.37,1.06,4.56,,,,,,,
F. ruthenica,,3,,,,,,,,,20.13,15.14,1.23,5.09,,,,,,,
F. ruthenica,,3,,,,,,,,,19.82,15.66,1.43,5.17,,,,,,,
F. ruthenica,,3,,,,,,,,,19.73,15.67,0.14,5.57,,,,,,,
F. sewerzowii,,3,8,7,21,6,41.94,38.04,10.65,18.05,32.52,35.64,27.2,1.25,3.06,28.27,17.12,20,53,52.5,0.01045
F. sewerzowii,,3,,,15,10,,,,,32.52,35.4,26.68,2.26,2.37,,,,41,59.25,
F. sewerzowii,,3,,,21,4,,,,,32.52,37.62,27.88,2.27,1.03,,,,54,52.5,0.01045
F. sewerzowii,,3,,,13,6,,,,,32.52,34.81,26.55,0,1.02,,,,25,59.25,0.01422
F. sewerzowii,,3,,,30,12,,,,,32.52,36.6,27.62,0,0,,,,28,53.5,0.0221
F. sewerzowii,,3,,,,7,,,,,32.52,35.88,25.43,0,0,,,,28,51.75,0.00378
F. sewerzowii,,3,,,,5,35.08,31.2,11.36,16.61,31.5,31.65,32.22,5.08,1.31,26.77,17.4,22,17,74.75,
F. sewerzowii,,3,,,,,,,,,31.5,34.48,29.01,1.25,1.64,,,,10,67.5,0.6221
F. sewerzowii,,3,,,,,,,,,31.5,33.69,28.04,1.25,2.37,,,,3.9,67.75,0.01478
F. sewerzowii,,3,,,,,,,,,31.5,32.67,28.89,3.12,4.19,,,,12,72,0.00633
F. sewerzowii,,3,,,,,,,,,31.5,32.94,25.56,4.4,2.37,,,,6,62.5,0.00159
F. sewerzowii,,3,,,,,,,,,31.5,34.93,25.8,0,2.37,,,,10,70,0.01297
F. sewerzowii,,3,,,,,41.94,38.04,10.65,18.05,32.52,35.64,27.2,1.25,3.06,28.27,17.12,20,6,76,0.00351
F. sewerzowii,,3,,,,,,,,,32.52,35.4,26.68,2.26,2.37,,,,9,78,0.0009
F. sewerzowii,,3,,,,,,,,,32.52,37.62,27.88,2.27,1.03,,,,7.9,73,0.16826
F. sewerzowii,,3,,,,,,,,,32.52,34.81,26.55,0,1.02,,,,3.2,72.5,0.65113
F. sewerzowii,,3,,,,,,,,,32.52,36.6,27.62,0,0,,,,13,64,0.00256
F. sewerzowii,,3,,,,,,,,,32.52,35.88,25.43,0,0,,,,,62,0.0113
F. sewerzowii,,3,,,,,35.08,31.2,11.36,16.61,31.5,31.65,32.22,5.08,1.31,26.77,17.4,22,,68,0.00742
F. sewerzowii,,3,,,,,,,,,31.5,34.48,29.01,1.25,1.64,,,,,65,0.00355
F. sewerzowii,,3,,,,,,,,,31.5,33.69,28.04,1.25,2.37,,,,,61.5,0.01096
F. sewerzowii,,3,,,,,,,,,31.5,32.67,28.89,3.12,4.19,,,,,55,0.01138
F. sewerzowii,,3,,,,,,,,,31.5,32.94,25.56,4.4,2.37,,,,,56.25,0.00946
F. sewerzowii,,3,,,,,,,,,31.5,34.93,25.8,0,2.37,,,,,55.25,-0.14034
F. sewerzowii,,3,,,,,28.25,26.94,9.76,26.93,34.58,33.71,28.74,2.33,1.46,24.36,16.73,45,,65,-0.14034
F. sewerzowii,,3,,,,,,,,,34.58,30.7,28.31,2.33,1.25,,,,,66.25,0.00571
F. sewerzowii,,3,,,,,,,,,34.58,31.69,27.16,3.46,0,,,,,71.5,0.03492
F. sewerzowii,,3,,,,,,,,,34.58,30.31,28.72,4.6,0,,,,,,0.03414
F. sewerzowii,,3,,,,,,,,,34.58,32.87,27.12,4.6,0,,,,,71.25,0.02944
F. sewerzowii,,3,,,,,,,,,34.58,32.86,26.97,0,0,,,,,73,0.01814
F. sewerzowii,,3,,,,,4.2,37.71,17.59,20.38,34.39,34.43,24.92,4.06,1.15,29.01,19.58,23,,,0.00515
F. sewerzowii,,3,,,,,,,,,34.39,34.24,25.88,4.06,2.96,,,,,64.7666666666667,0.00818
F. sewerzowii,,3,,,,,,,,,34.39,34.19,25.88,3.31,9.71,,,,,65,0.01561
F. sewerzowii,,3,,,,,,,,,34.39,31.66,25.88,5.05,9.71,,,,,31,0.00594
F. sewerzowii,,3,,,,,,,,,34.39,30.83,25.02,6.03,9.71,,,,,25,
F. sewerzowii,,3,,,,,,,,,34.39,31.59,25.02,3.33,9.71,,,,,39,
F. sewerzowii,,3,,,,,26.03,29.74,8.47,13.76,33.58,31.66,24.98,brak,2.65,,,20,,,
F. sewerzowii,,3,,,,,,,,,33.58,33.31,24.98,,3.57,,,,,,
F. sewerzowii,,3,,,,,,,,,33.58,30.7,24.98,,5.01,,,,,,
F. sewerzowii,,3,,,,,,,,,33.58,29.35,24.98,,0,,,,,,
F. sewerzowii,,3,,,,,,,,,33.58,30.85,24.98,,0,,,,,,
F. sewerzowii,,3,,,,,,,,,33.58,30.66,24.98,,0,,,,,,
F. sewerzowii,,3,,,,,36.74,32.91,8.22,13.8,28.59,28.1,23.15,brak,1.97,,,,45,,
F. sewerzowii,,3,,,,,,,,,28.59,29.88,22.73,,1.97,,,,,,
F. sewerzowii,,3,,,,,,,,,28.59,25.93,24.4,,2.69,,,,,,
F. sewerzowii,,3,,,,,,,,,28.59,29.05,24.4,,0,,,,,,
F. sewerzowii,,3,,,,,,,,,28.59,27.81,24.4,,3.78,,,,,,
F. sewerzowii,,3,,,,,,,,,28.59,29.48,24.4,,1.6,,,,,,
F. sewerzowii,,3,,,,,32.55,32.32,9.59,11.27,27.77,28.38,21.37,brak,6.18,,,,20,,
F. sewerzowii,,3,,,,,,,,,27.77,26.92,24.57,,7.11,,,,,,
F. sewerzowii,,3,,,,,,,,,27.77,28.32,24.57,,6.72,,,,,,
F. sewerzowii,,3,,,,,,,,,27.77,26.67,24.57,,7.67,,,,,,
F. sewerzowii,,3,,,,,,,,,27.77,26.92,24.57,,7.67,,,,,,
F. sewerzowii,,3,,,,,,,,,27.77,26.91,24.57,,3.09,,,,,,
F. sewerzowii,,3,,,,,24.74,21.19,6.42,10.64,26.01,25.45,20.22,brak,5.07,,,,55,,
F. sewerzowii,,3,,,,,,,,,26.01,26.59,20.22,,0.84,,,,,,
F. sewerzowii,,3,,,,,,,,,26.01,24.85,20.22,,0,,,,,,
F. sewerzowii,,3,,,,,,,,,26.01,25.56,20.22,,0,,,,,,
F. sewerzowii,,3,,,,,,,,,26.01,25.67,20.22,,0,,,,,,
F. sewerzowii,,3,,,,,,,,,26.01,25.67,20.22,,0,,,,,,
F. sewerzowii,,3,,,,,20.36,17.41,7.75,20.75,26.53,26.9,22.61,0,1.55,20.93,20.95,,110,,
F. sewerzowii,,3,,,,,20.36,17.41,7.75,20.75,26.53,26.9,22.6,0,1.55,,,,45,,
F. sewerzowii,,3,,,,,,,,,26.53,27.93,22.61,0,0,,,,45,,
F. sewerzowii,,3,,,,,,,,,26.53,26.76,22.62,0,0,,,,,,
F. sewerzowii,,3,,,,,,,,,26.53,26.54,22.63,0,0,,,,,,
F. sewerzowii,,3,,,,,,,,,26.53,26.63,22.61,0,0,,,,,,
F. sewerzowii,,3,,,,,17,15.97,7.85,16.52,25.16,23.49,21.74,0,1.58,22.97,,,40,,
F. sewerzowii,,3,,,,,,,,,25.16,24.78,20.3,0,0,,,,,,
F. sewerzowii,,3,,,,,,,,,25.16,26.54,19.79,0,0,,,,,,
F. sewerzowii,,3,,,,,,,,,25.16,24.97,19.79,0,1.41,,,,,,
F. sewerzowii,,3,,,,,,,,,25.16,24.37,19.79,0,1.51,,,,,,
F. sewerzowii,,3,,,,,,,,,25.16,24.52,19.79,0,1.51,,,,,,
F. sewerzowii,,3,,,,,20.46,15.69,8.08,13.98,24.76,25.31,18.59,0,2.01,0,0,,40,,
F. sewerzowii,,3,,,,,,,,,24.76,24.71,18.59,0,1.32,,,,,,
F. sewerzowii,,3,,,,,,,,,24.76,23.84,18.59,0,1.35,,,,,,
F. sewerzowii,,3,,,,,,,,,24.76,22.77,18.59,0,1.5,,,,,,
F. sewerzowii,,3,,,,,,,,,24.76,23.73,18.1,0,1.05,,,,,,
F. sewerzowii,,3,,,,,,,,,24.76,23.72,18.11,0,1.06,,,,,,
F. sewerzowii,,3,,,,,17.17,16.19,7.16,12.98,24.1,22.94,19.29,0,1.13,0,0,,35,,
F. sewerzowii,,3,,,,,,,,,24.1,22.95,18.46,0,2.46,,,,,,
F. sewerzowii,,3,,,,,,,,,24.1,22.98,19.52,0,2.46,,,,,,
F. sewerzowii,,3,,,,,,,,,24.1,21.99,19.08,0,0,,,,,,
F. sewerzowii,,3,,,,,,,,,24.1,22.13,19.22,0,0,,,,,,
F. sewerzowii,,3,,,,,,,,,24.1,22.13,19.21,0,0,,,,,,
F. sewerzowii,,3,,,,,14.85,19.82,6.73,7.68,22.04,20.98,20.27,0,2.36,0,0,,35,,
F. sewerzowii,,3,,,,,,,,,22.04,21.31,16.72,0,2.36,,,,,,
F. sewerzowii,,3,,,,,,,,,22.04,21.31,17.41,0,2.04,,,,,,
F. sewerzowii,,3,,,,,,,,,22.04,20.77,16.93,0,0.8,,,,,,
F. sewerzowii,,3,,,,,,,,,22.04,21.2,17.7,0,1.75,,,,0.11,,
F. sewerzowii,,3,,,,,,,,,22.04,22.16,17.7,0,0.57,,,,0.05,,
F. sewerzowii,,3,,,,,36,9,10,19,22.04,25,30,0,1,16,10,40,2.7,65,
F. sewerzowii,,3,,,,,,,,,,26,29,0,1.5,,,,6.5,,
F. sewerzowii,,3,,,,,,,,,,26,30,0,1,,,,0.9,,
F. sewerzowii,,3,,,,,,,,,,25,29,0,3,,,,5.1,,
F. sewerzowii,,3,,,,,,,,,,26,30,0,3,,,,,,
F. sewerzowii,,3,,,,,,,,,,26,29,2,4,,,,,,
F. sewerzowii,,3,,,,,30,8,,5,,27,23,0,0,25,8,40,,,
F. sewerzowii,,3,,,,,,,,,,27,24,0,0,,,,,,
F. sewerzowii,,3,,,,,,,,,,28,24,0,0,,,,,,
F. sewerzowii,,3,,,,,,,,,,27,22,0,0,,,,,,
F. sewerzowii,,3,,,,,,,,,,27,23,0,0,,,,,,
F. sewerzowii,,3,,,,,,,,,,26,23,0,0,,,,,,
F. sewerzowii,,3,,,,,28,9,8,10,,30,22,0,3,15,,25,,,
F. sewerzowii,,3,,,,,,,,,,29,18,0,5,,,,,,
F. sewerzowii,,3,,,,,,,,,,30,19,0,4,,,,,,
F. sewerzowii,,3,,,,,,,,,,29,19,0,2,,,,,,
F. sewerzowii,,3,,,,,,,,,,30,19,0,0,,,,,,
F. sewerzowii,,3,,,,,,,,,,28,19,0,0,,,,,,
F. sewerzowii,,3,,,,,,,,,,25,19,0,9,,,,,,
F. sewerzowii,,3,,,,,33,7,10,17,,24,22,0,9,,,40,,,
F. sewerzowii,,3,,,,,,,,,,23,23,0,4,,,,,,
F. sewerzowii,,3,,,,,,,,,,24,23,0,4,,,,,,
F. sewerzowii,,3,,,,,,,,,,23,24,0,2,,,,,,
F. sewerzowii,,3,,,,,,,,,,22,22,0,9,,,,,,
F. sewerzowii,,3,,,,,28,22,10,15,,20,21,0,11,,,55,,,
F. sewerzowii,,3,,,,,,,,,,21,24,0,11,,,,,,
F. sewerzowii,,3,,,,,,,,,,23,23,0,10,,,,,,
F. sewerzowii,,3,,,,,,,,,,20,23,0,3,,,,,,
F. sewerzowii,,3,,,,,,,,,,20,23,0,5,,,,,,
F. sewerzowii,,3,,,,,,,,,,19,22,0,2,,,,,,
F. sewerzowii,,3,,,,,23,25,10,11,,24,22,0,2,,,45,,,
F. sewerzowii,,3,,,,,,,,,,24,24,0,1,,,,,,
F. sewerzowii,,3,,,,,,,,,,23,24,0,2,,,,,,
F. sewerzowii,,3,,,,,,,,,,22,2,0,2,,,,,,
F. sewerzowii,,3,,,,,,,,,,22,23,0,3,,,,,,
F. sewerzowii,,3,,,,,17,17,10,11,,22,22,0,0,,,50,,,
F. sewerzowii,,3,,,,,,,,,,,22,,2,,,,,,
F. sewerzowii,,3,,,,,,,,,,,21,,0,,,,,,
F. sewerzowii,,3,,,,,,,,,,,21,,0,,,,,,
F. sewerzowii,,3,,,,,,,,,,,22,,0,,,,,,
F. sewerzowii,,3,,,,,19,18,11,11,,,20,,0,,,,,,
F. sewerzowii,,3,,,,,,,,,,,21,,0,,,,,,
F. sewerzowii,,3,,,,,,,,,,,19,,0,,,,,,
F. sewerzowii,,3,,,,,,,,,,,19,,0,,,,,,
F. sewerzowii,,3,,,,,19,17,8.5,,,,19,,5,,,,,,
F. sewerzowii,,3,,,,,,,,,,,20,,8,,,,,,
F. sewerzowii,,3,,,,,,,,,,,19,,4,,,,,,
F. sewerzowii,,3,,,,,,,,,,,19,,3,,,,,,
F. sewerzowii,,3,,,,,,,,,,,19,,2,,,,,,
F. sewerzowii,,3,,,,,18,14,8,,,,20,,10,,,,,,
F. sewerzowii,,3,,,,,,,,,,,20,,0,,,,,,
F. sewerzowii,,3,,,,,,,,,,,19,,0,,,,,,
F. sewerzowii,,3,,,,,,,,,,,19,,0,,,,,,
F. sewerzowii,,3,,,,,,,,,,,19,,4,,,,,,
F. sewerzowii,,3,,,,,18,17,7,,,,18,,0,,,,,,
F. sewerzowii,,3,,,,,,,,,,,,,5,,,,,,
F. sibthorpiana,,,5,7,7,2,25.09,27.94,14.32,30.74,17.97,12.91,0,3.38,14.47,6.6,,,,,
F. sibthorpiana,,3,,,1,0,,,,,18.36,14.96,0,2.13,,,,,,,
F. sibthorpiana,,3,,,1,0,,,,,17.96,12.92,0,8.04,,,,,,,
F. sibthorpiana,,3,,,,0,,,,,17.16,14.22,0,3.26,,,,,,,
F. sibthorpiana,,3,,,,0,,,,,17.05,15.08,0,5.58,,,,,,,
F. sibthorpiana,,3,,,,1,,,,,16.84,15.55,0,2.29,,,,,,,
F. sibthorpiana,,3,,,,,25.47,24.97,10.22,32.65,17.48,15.62,0,3.02,14.54,7.25,,,,,
F. sibthorpiana,,3,,,,,,,,,19,16.79,0,2,,,,,,,
F. sibthorpiana,,3,,,,,,,,,18.03,15.28,0,4.55,,,,,,,
F. sibthorpiana,,3,,,,,,,,,16.8,15.28,0,3.31,,,,,,,
F. sibthorpiana,,3,,,,,,,,,18.36,16.24,0,4.18,,,,,,,
F. sibthorpiana,,3,,,,,,,,,18.87,16.63,0,3.39,,,,,,,
F. sibthorpiana,,3,,,,,25.47,25.41,11.61,28.13,17.88,14.94,0,2.57,14.95,8.04,,,,,
F. sibthorpiana,,3,,,,,,,,,18.03,15.31,0,2.57,,,,,,,
F. sibthorpiana,,3,,,,,,,,,18.64,14.97,0,2.57,,,,,,,
F. sibthorpiana,,3,,,,,,,,,17.08,14.29,0,5.19,,,,,,,
F. sibthorpiana,,3,,,,,,,,,18.29,15.89,0,2.7,,,,,,,
F. sibthorpiana,,3,,,,,,,,,16.66,,0,3.73,,,,,,,
F. sibthorpiana,,3,,,,,19.48,20.86,10.83,26.05,16.8,13.5,0,3.79,14.04,6.49,,,,,
F. sibthorpiana,,3,,,,,,,,,17.6,15.26,0,2.18,,,,,,,
F. sibthorpiana,,3,,,,,,,,,17.69,13.65,0,3.96,,,,,,,
F. sibthorpiana,,3,,,,,,,,,17.69,15.03,0,1.47,,,,,,,
F. sibthorpiana,,3,,,,,,,,,16.72,13.21,0,5.16,,,,,,,
F. sibthorpiana,,3,,,,,,,,,15.53,13.76,0,3.3,,,,,,,
F. sibthorpiana,,3,,,,,,,,,,,0,2.07,,,,,,,
F. sororum ,,3,,,,,25.18,17.06,15.93,42.86,31.98,20.35,0.9,6.7,21.43,9.48,1,90,,,
F. sororum ,,3,,,,,,,,,32.87,19.38,0.9,3.15,,,,,,,
F. sororum ,,3,,,,,,,,,32.87,20.36,1.41,6.67,,,,,,,
F. sororum ,,3,,,,,,,,,31.64,21.86,1.42,2.28,,,,,,,
F. sororum ,,3,,,,,,,,,32.68,23.52,0.79,4.53,,,,,,,
F. sororum ,,3,,,,,,,,,31.89,22.81,1.07,1.51,,,,,,,
F. sthenanthera,,6,,,,,34.01,32.68,17.7,,,,,,,,,,0.5,62.5,0.00014
F. sthenanthera,,6,,,,,,,,,,,,,,,,,0.3,52,0.0004
F. sthenanthera,,6,,,,,30.62,31.48,27.49,5.59,21.23,11.38,1.28,,10.29,5.96,,90,0.6,55,0.000213
F. sthenanthera,,6,,,,,,,,,22.45,10.44,2.96,,,,,,0.7,52,0.0004
F. sthenanthera,,6,,,,,,,,,21.76,10.84,2.16,,,,,,0.1,44,
F. sthenanthera,,6,,,,,,,,,19.83,10.82,1.25,,,,,,0.3,51,0.00066
F. sthenanthera,,6,,,,,,,,,,10.94,2.08,,,,,,0.25,48,0.00068
F. sthenanthera,,6,,,,,,,,,,11.21,2.08,,,,,,0.7,37,0.01501
F. sthenanthera,,6,,,,,28.81,30.45,27.53,,22.21,10.91,0,2.52,10.63,7.3,8,90,,14,0.01644
F. sthenanthera,,6,,,,,,,,,21.24,10.25,0,4.65,,,,,0.25,48.5,0.01594
F. sthenanthera,,6,,,,,,,,,21.36,10.25,0,2.53,,,,,0.05,55,0.00177
F. sthenanthera,,6,,,,,,,,,23.56,11.07,0,1.27,,,,,0.1,51,0.0011
F. sthenanthera,,6,,,,,,,,,21.34,9.58,0,2.63,,,,,,48,0.00025
F. sthenanthera,,6,,,,,,,,,22.16,10.38,0,2.02,,,,,0.05,62,0.00332
F. sthenanthera,,6,,,,,30.16,27.21,15.7,8.2,17.85,9.71,0,,9.29,5.15,,,0.11,65.5,0.00042
F. sthenanthera,,6,,,,,,,,,17.82,10.2,0,,,,,,0.13,35,0.0003
F. sthenanthera,,6,,,,,,,,,17.13,8.05,0,,,,,,0.05,44.5,0.02042
F. sthenanthera,,6,,,,,,,,,17.8,8.34,0,,,,,,,48,0.00252
F. sthenanthera,,6,,,,,,,,,17.8,8.18,0,,,,,,0.25,42.5,
F. sthenanthera,,6,,,,,,,,,19.48,8.18,0,,,,,,0.06,65,
